"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.est",-2.56447742203748,1.79679474571706,-5.60439534007284,-3.76872674473918,-2.80937685791994,-1.46901342554745,1.6139485717445,1.81078499350344,4
"b_ant",-0.0396725295534932,0.133750223401892,-0.301285544461868,-0.132773262839079,-0.0391306130039109,0.0524568154555861,0.219422192090127,1.00264665137151,1200
"b_dep.est[1]",0.0780606365845398,0.123441467867668,-0.150254215276207,-0.00931914812495299,0.0776600641559276,0.164284208324229,0.329256775527822,1.00199202176189,880
"b_dep.est[2]",-0.244270464181421,0.111648983751637,-0.467401039411705,-0.323251083602684,-0.239427758292102,-0.167209996164505,-0.0387232172654286,1.02257063441515,77
"b_dep.est[3]",0.166209827596881,0.130667761037526,-0.0984346492158917,0.0768977788794804,0.170765832906952,0.254715452230617,0.421698213630068,1.0073254564866,230
"b_div.est[1]",-0.198854208661311,0.0831359562619316,-0.367621873775432,-0.252021017026425,-0.197654570725,-0.141727920962883,-0.0414964057506692,1.00217176587237,1400
"b_div.est[2]",0.198854208661311,0.0831359562619316,0.0414964057506687,0.141727920962884,0.197654570725,0.252021017026425,0.367621873775431,1.00217176587237,1400
"b_edad.est[1]",-0.451522915880162,0.764859385253336,-2.19662613640477,-0.895410327908042,-0.310270914186281,0.104850859295143,0.659347994345065,1.04072208489768,64
"b_edad.est[2]",-0.83127891894659,0.753287087759291,-2.61047444538088,-1.24588385234036,-0.657025733468212,-0.266649514335537,0.203585380333203,1.04270681118805,58
"b_edad.est[3]",1.28280183482675,1.5051616626841,-0.785360752926985,0.162060211277747,0.948859502656701,2.1358214103054,4.74138415698302,1.04239242995386,60
"b_edad_suel.est[1,1]",-1.73203473403336,1.48706629318883,-5.37077120947692,-2.51245895088596,-1.41969497046068,-0.591239824698435,0.195858204642754,1.04288925735515,57
"b_edad_suel.est[2,1]",-2.08737903581639,1.48635429660411,-5.70137433506643,-2.87209487351715,-1.77611603435599,-0.952449103656558,-0.243715517620873,1.04855523391622,50
"b_edad_suel.est[3,1]",3.81941376984975,2.96350807159222,0.128245901549258,1.54058790596908,3.17341560933564,5.41275972648718,11.0725047263161,1.04606259180623,53
"b_edad_suel.est[1,2]",0.657927436222777,0.764990796520493,-0.406483970871428,0.101117215440921,0.498341417715734,1.08649959222447,2.43372995599648,1.04491986023588,58
