"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.est",-0.369749319475629,5.82473925811669,-11.7923536581096,-4.30906595810118,-0.369032553300724,3.56717062134252,11.0531498559466,1.00102018220397,46000
"b_ant",-0.15737416388585,0.22462908583159,-0.599563446766079,-0.308930592167516,-0.156357551115948,-0.00624461264540429,0.281820178690388,1.00099042623,90000
"b_dep.est[1]",0.125905244516468,0.218883217684748,-0.305159757736675,-0.0215866532854586,0.126078131773814,0.273394942299548,0.554441057346546,1.00098757318826,90000
"b_dep.est[2]",-0.250363160221142,0.191003669183886,-0.625680683489792,-0.379495458713349,-0.24974901988495,-0.121673972329889,0.121950658420068,1.00099027077825,90000
"b_dep.est[3]",0.124457915704675,0.231504589017229,-0.328203084198839,-0.0320269317638694,0.123605733128756,0.280901577246771,0.577751159470924,1.00099068552792,90000
"b_div.est[1]",-0.16215912883319,0.147747398753305,-0.453347662531523,-0.261406599309369,-0.162089172512873,-0.0624172881522805,0.126372502743495,1.00098887360655,90000
"b_div.est[2]",0.16215912883319,0.147747398753305,-0.126372502743495,0.0624172881522803,0.162089172512873,0.26140659930937,0.453347662531523,1.00098887360655,90000
"b_edad.est[1]",-0.513900687409142,1.01410650073999,-2.7748289649718,-1.14986580952897,-0.372638742104654,0.24212928931362,1.06046655999807,1.00479303693448,1300
"b_edad.est[2]",-1.19830467020204,0.980432036555084,-3.40965672785548,-1.79807628865813,-1.04463859125312,-0.453006391445522,0.249661652284519,1.00429591886157,810
"b_edad.est[3]",1.71220535761119,1.94906436992629,-1.1462468469928,0.217572294940525,1.40594220242063,2.91839543699808,6.12220062555835,1.00479838592199,960
"b_edad_suel.est[1,1]",-1.94568635651821,1.93375730014969,-6.35240126209909,-3.14777682525044,-1.64542020027845,-0.445912555923905,0.864084547327926,1.00581283377024,1100
"b_edad_suel.est[2,1]",-2.86569921126734,1.91761495448016,-7.23487825812764,-4.03049705121905,-2.54020863930514,-1.38937902041151,-0.136324532226075,1.00476465519067,690
"b_edad_suel.est[3,1]",4.81138556778555,3.78911136540216,-0.454930577604537,1.82503724539463,4.1653581928578,7.13969787508248,13.4812765561997,1.00540653245265,810
"b_edad_suel.est[1,2]",0.847708985973615,0.995397328522771,-0.667011007750178,0.0986061224927128,0.704854362196517,1.46706590843653,3.08877804683442,1.00551726733949,1200
"b_edad_suel.est[2,2]",1.21782074830336,0.985163518447906,-0.257827448762447,0.474972764324964,1.06531471274499,1.82000843844138,3.44285477329691,1.00444041593814,850
"b_edad_suel.est[3,2]",-2.06552973427698,1.93734824384721,-6.46032420824729,-3.2616278164512,-1.75882441371459,-0.572648840059652,0.757451889524126,1.00522835081522,980
"b_edad_suel.est[1,3]",1.0979773705446,1.02450394557918,-0.501564712495135,0.331920861745052,0.966428991148676,1.73143997528265,3.40394214116425,1.00438295151042,1100
"b_edad_suel.est[2,3]",1.64787846296397,1.01702695260425,0.0897332371058268,0.890119124687871,1.5024475455557,2.27225396127975,3.94160183627497,1.00398711912482,660
"b_edad_suel.est[3,3]",-2.74585583350857,1.98519706649576,-7.24341569762004,-3.97200031064102,-2.44795823036525,-1.23623383041665,0.214904151103789,1.00443760908657,780
"b_edo_c.est[1]",0.0897697110838068,0.159442122063733,-0.222291954733408,-0.0171710404455083,0.089403342807979,0.196438674273678,0.404261098037305,1.00100890009113,70000
"b_edo_c.est[2]",-0.0897697110838068,0.159442122063733,-0.404261098037304,-0.19643867427368,-0.089403342807979,0.0171710404455083,0.222291954733408,1.00100890009113,70000
"b_esc.est[1]",0.436876635365601,0.44224132299385,-0.443772437962474,0.144231451946615,0.442374550971898,0.736300863373098,1.28513477101356,1.00099283255401,90000
"b_esc.est[2]",0.491403573883544,0.438485529163799,-0.383963942657666,0.200839082562942,0.495241902129071,0.788861707749708,1.34251314954807,1.00101397903666,56000
"b_esc.est[3]",-0.928280209249145,0.850760440205785,-2.56788651834657,-1.50351502481627,-0.936154078434564,-0.366783719772879,0.772696700867518,1.00100237210203,90000
"b_exp.est[1]",-0.0528649122351181,0.30597567134962,-0.642569316426306,-0.260936238021332,-0.0563947117750575,0.151555098972795,0.559592989214537,1.00099798797529,90000
"b_exp.est[2]",0.130324526642255,0.213638829344504,-0.289152489257848,-0.0147920499768519,0.130508323539649,0.27481991314903,0.547680367207535,1.00098970524878,90000
"b_gen.est[1]",0.28006069483348,0.11380150971943,0.0590396905366521,0.203093001799112,0.279843344328306,0.356192249235483,0.505598792693187,1.00104877099611,24000
"b_gen.est[2]",-0.28006069483348,0.11380150971943,-0.505598792693188,-0.356192249235483,-0.279843344328306,-0.203093001799112,-0.0590396905366513,1.00104877099611,24000
"b_inc",-0.11529310310902,0.126864423795776,-0.411831145529525,-0.185143790159237,-0.0974224944353896,-0.0267518863353672,0.0828738483187371,1.00099886092311,90000
"b_mes.est[1]",0.31676475594463,0.518108007844626,-0.681067025916912,-0.0367617457393064,0.311515478963223,0.663405695576013,1.34934848803726,1.00124640925002,5800
"b_mes.est[2]",0.222900184873559,0.216172104017038,-0.199728320820603,0.0766453150551157,0.223456375892132,0.367925728105813,0.648516220239665,1.00098875520387,90000
"b_mes.est[3]",0.566492648159709,0.28603789134,0.0107830771209413,0.372816532417985,0.565764747541894,0.759177080631811,1.1315112840917,1.00118531148339,7600
"b_mes.est[4]",-0.381194434081941,0.267626761719202,-0.904499334855236,-0.56157519180665,-0.380960717229991,-0.20064453540711,0.14251671985735,1.00103645675144,31000
"b_mes.est[5]",-0.375037720911193,0.257107149730793,-0.879666803729494,-0.548182283468018,-0.373820078230271,-0.200635150533182,0.124031946349425,1.00098867867745,90000
"b_mes.est[6]",-0.349925433984764,0.282315176466134,-0.904136531340066,-0.539886021439798,-0.349446583227774,-0.159298427602031,0.202513142518473,1.00106448348292,19000
"b_num_t",0.300979224502991,0.175860497871724,-0.0401302459417631,0.182058166742489,0.299410747096888,0.418231164324196,0.647721911860429,1.00101733818244,50000
"b_num_v",-3.25170594322343,0.241178601618127,-3.73920431220613,-3.41179483115781,-3.24633607057501,-3.08653765240101,-2.79488520453926,1.00109597971155,14000
"b_suel.est[1]",2.6538004684014,1.9187924062147,-0.0878961069109062,1.17088786050592,2.33193937442352,3.84359777855831,7.0449536468037,1.00472575643478,670
"b_suel.est[2]",-0.957292558445283,0.979403725939282,-3.19037606192014,-1.56159352323866,-0.806368253265719,-0.210394818770316,0.488250132800249,1.00448901676258,800
"b_suel.est[3]",-1.69650790995611,1.01332269300856,-3.97538929973702,-2.3272394544621,-1.55307216525792,-0.936553106930635,-0.143024557236659,1.00398964462086,660
"b_suel_ant",0.110903908227457,0.11133065526252,-0.106432289408784,0.0358400037792345,0.111112346786075,0.185564101044492,0.330754640454402,1.00099945086425,90000
"deviance",600.2610778015,7.67640575008514,587.49359427102,594.814310928342,599.558698335334,604.902931882934,617.03643850399,1.00098892034469,90000
