"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.est",-0.988003769272274,4.15699326701695,-8.17579117135942,-4.43316020990645,-0.988229115876523,2.40618241783327,6.20308898937335,1.12108796443865,20
"b_ant",0.108129963350554,0.16624785210086,-0.217919562832753,-0.00422386004327388,0.108024793062798,0.220782631117807,0.432349733681558,1.00127514722898,5200
"b_dep.est[1]",0.0541618077860789,0.123830111690789,-0.189282293736021,-0.0292589023289225,0.0543753678586442,0.137739104852523,0.296262999061484,1.00100648037503,79000
"b_dep.est[2]",-0.213495237009975,0.107682142917353,-0.426291466816759,-0.285907388039294,-0.212378368699408,-0.140535655054104,-0.00411635399378287,1.00107242448296,18000
"b_dep.est[3]",0.159333429223897,0.130853922938586,-0.0943770254576335,0.0711451809222737,0.158477708473219,0.247032262439597,0.41906675133367,1.00099930400727,90000
"b_div.est[1]",-0.18009109121024,0.0821002599793453,-0.340990431700418,-0.235928423217956,-0.180136687469882,-0.124289029778054,-0.0202282648412417,1.00098958908471,90000
"b_div.est[2]",0.18009109121024,0.0821002599793453,0.0202282648412408,0.124289029778053,0.180136687469883,0.235928423217955,0.340990431700417,1.00098958908471,90000
"b_edad",-0.312643902433556,0.144637412276356,-0.596050696797306,-0.41106753094232,-0.311965553209188,-0.214288474477921,-0.030528156564821,1.00106727795447,19000
"b_edo_c.est[1]",0.145702138846229,0.091716276205109,-0.0326413314590841,0.0840550271507606,0.145049941851629,0.207292363248759,0.327020187195189,1.00099718683081,90000
"b_edo_c.est[2]",-0.145702138846229,0.091716276205109,-0.327020187195188,-0.207292363248758,-0.14504994185163,-0.0840550271507605,0.0326413314590831,1.00099718683081,90000
"b_esc.est[1]",0.173416875571254,0.262476951826476,-0.313603049393807,-0.00852860589641358,0.162978016015436,0.346261992445405,0.710333910514576,1.00115361814422,9000
"b_esc.est[2]",0.0911703952821117,0.258049748045167,-0.389524077334568,-0.0873977541808848,0.0827573207332954,0.260460779207314,0.619591953353225,1.00126683108549,5400
"b_esc.est[3]",-0.264587270853366,0.503807382842569,-1.30167409852427,-0.594616067307937,-0.244267199010156,0.0851039830179817,0.666737697539972,1.00122084582724,6400
"b_exp.est[1]",0.201201886951409,0.180259891327918,-0.153387682341637,0.079722739504746,0.201116545166147,0.322412938322272,0.555019016373451,1.00125570878844,5600
"b_exp.est[2]",-0.215025266864622,0.121457674982907,-0.454847079906616,-0.296725582599737,-0.214182291491907,-0.132702860765932,0.0233669514180873,1.00099757143076,90000
"b_exp.est[3]",0.0138233799132129,0.134105666258403,-0.250999338625189,-0.076687407548927,0.0144863209797504,0.104006330378641,0.275765800375459,1.00135322977248,4100
"b_gen.est[1]",0.0236804045276493,0.0636203296454562,-0.10130884974585,-0.0192030415352418,0.0237115806788513,0.0669098376639026,0.14751060255393,1.0010056696628,82000
"b_gen.est[2]",-0.0236804045276493,0.0636203296454562,-0.147510602553929,-0.0669098376639035,-0.0237115806788508,0.0192030415352418,0.101308849745848,1.0010056696628,82000
"b_inc",-0.0936361113928052,0.0975390426644338,-0.327246381078024,-0.147495127607349,-0.0772028341584665,-0.0226952717621029,0.0492186082268973,1.00111418107103,12000
"b_mes.est[1]",0.189483765991344,0.262140337296636,-0.317838931742395,0.0116614616399522,0.187118693319629,0.366100392083445,0.703596847975066,1.00113411401076,10000
"b_mes.est[2]",0.0268469743523093,0.119375805746391,-0.207357783727754,-0.0535409025154258,0.0274686721837689,0.10794271540308,0.259955027822616,1.00101820988829,49000
"b_mes.est[3]",0.286048639990628,0.16339164235293,-0.0375043596748166,0.176850174844847,0.287294958048935,0.39584558174611,0.604211791127317,1.0009959249891,90000
"b_mes.est[4]",-0.209623501878487,0.145783774723778,-0.495208302993491,-0.307871777121067,-0.209140835215192,-0.111384772563423,0.0750995873453969,1.00105558662127,22000
"b_mes.est[5]",-0.225420013521975,0.141035233141619,-0.50365920235933,-0.319651343425268,-0.224369998852102,-0.130111914461898,0.0488516370848354,1.00103779795501,30000
"b_mes.est[6]",-0.0673358649338197,0.165744118065166,-0.390466515608195,-0.179781978455436,-0.0675806728075773,0.0451231695391574,0.257310896326535,1.0009884382012,90000
"b_num_t",0.111605618246382,0.0992615921500487,-0.0845361444113968,0.0450039020772416,0.112407197382406,0.17868504475466,0.304347833586971,1.00137744124106,3900
"b_num_v",-1.6765200540229,0.13288392668327,-1.94389924613814,-1.7645318985765,-1.67445537264805,-1.58570325612039,-1.42291687836604,1.00115122084959,9200
"b_suel",-0.119520809023955,0.108129373240648,-0.336501008756495,-0.191802163465156,-0.118020448911176,-0.0461246416112715,0.0892685829031201,1.00125772896362,5600
"b_suel_ant",0.00674236182506531,0.0661434583033571,-0.124512672649358,-0.0376074008322492,0.00724892148928703,0.0515296514204926,0.135050691382215,1.00100870607063,70000
"deviance",605.735421517338,6.68041860503886,594.638145698955,600.925209670006,605.073081562948,609.840402213189,620.549499585489,1.00101702592417,51000
