"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.est",-1.43352427797054,5.73301155102532,-12.6998929376583,-5.27312093723808,-1.41515848157328,2.39787631971704,9.89074465521445,1.00100810445428,72000
"b_ant",0.306387065917737,0.288058577212299,-0.263121894118677,0.113761141400277,0.306960297508744,0.501051289803223,0.869135355734429,1.00098749739965,90000
"b_dep.est[1]",0.118638437630348,0.217834978435587,-0.305779489863075,-0.0282103409957828,0.117889504506062,0.265047843151299,0.548044855272304,1.00098903126091,90000
"b_dep.est[2]",-0.271791307474373,0.189825568517753,-0.643085116906712,-0.39982863636252,-0.272262301184749,-0.142798231964801,0.0993813657489724,1.00101983026321,46000
"b_dep.est[3]",0.153152869844024,0.229228729370483,-0.297820905947109,-0.00130717070770781,0.154283104187941,0.306847850216697,0.603311798668791,1.00102264435012,43000
"b_div.est[1]",-0.14998394639741,0.145915531850507,-0.436059790029628,-0.248444176602084,-0.149595055889693,-0.0519010774625452,0.135558908934731,1.00101263766231,59000
"b_div.est[2]",0.14998394639741,0.145915531850507,-0.135558908934731,0.051901077462545,0.149595055889693,0.248444176602083,0.436059790029629,1.00101263766231,59000
"b_edad",-0.7212315745897,0.252267299871846,-1.21888865662915,-0.891196833376631,-0.720650312713827,-0.550668687421241,-0.229219615638101,1.00137901647413,3800
"b_edo_c.est[1]",0.101654385362591,0.158960239928785,-0.209939392053991,-0.00553377163620983,0.101183662055596,0.20877484164649,0.414106269799801,1.00100603539476,80000
"b_edo_c.est[2]",-0.101654385362591,0.158960239928785,-0.414106269799801,-0.20877484164649,-0.101183662055596,0.00553377163620983,0.209939392053991,1.00100603539476,80000
"b_esc.est[1]",0.228406687440709,0.43550876872975,-0.643909932836918,-0.0599734011381774,0.235473660147352,0.521328727097595,1.06574644246495,1.00110056156393,13000
"b_esc.est[2]",0.407628206097639,0.429760979962762,-0.453624703565628,0.124520473348359,0.412957405208064,0.699519621326548,1.23693810603636,1.00105417840262,22000
"b_esc.est[3]",-0.636034893538349,0.834001491962478,-2.24206161635432,-1.19907945435949,-0.649358175128158,-0.0871026408773278,1.03924511619953,1.00108277420541,16000
"b_exp.est[1]",0.0252510965517107,0.311975549812967,-0.575217176064266,-0.185979293308299,0.0217377052665467,0.232064768405682,0.649846323141029,1.00099432464675,90000
"b_exp.est[2]",0.13002920343324,0.214249616972657,-0.291536416387043,-0.0138271694251535,0.13081975075379,0.275195568875602,0.546713741609456,1.00100028037863,90000
"b_exp.est[3]",-0.155280299984951,0.23669486087847,-0.624741805979005,-0.314207101892338,-0.152686130024515,0.00525232909532641,0.301214801250897,1.00098742963345,90000
"b_gen.est[1]",0.298044730049642,0.114745783908536,0.0740016442318711,0.220287799182343,0.297588341647187,0.375566536709289,0.52475321674823,1.00101634559929,52000
"b_gen.est[2]",-0.298044730049642,0.114745783908536,-0.52475321674823,-0.375566536709288,-0.297588341647187,-0.220287799182346,-0.0740016442318711,1.00101634559929,52000
"b_inc",-0.113561577434787,0.129180516755415,-0.414527957881286,-0.185882402126557,-0.0946748679832018,-0.0225035115641526,0.0885376717066163,1.0010195794176,47000
"b_mes.est[1]",0.379812743546881,0.517802700182102,-0.619625277528349,0.0258630404551652,0.374193055107487,0.726937475612794,1.40855350393673,1.00122575287916,6300
"b_mes.est[2]",0.2317615705429,0.216054011098904,-0.191765474316688,0.0863564428278087,0.231546548021724,0.37746914064015,0.656810752021932,1.00113461039882,10000
"b_mes.est[3]",0.661860374699616,0.288362733774378,0.100677374040913,0.467919954402617,0.660306571059492,0.855216145857815,1.23330227840833,1.00104448009392,26000
"b_mes.est[4]",-0.449777725654535,0.269513434321806,-0.980326406281212,-0.630695171444428,-0.449251474068854,-0.26716952172985,0.0780669544808563,1.00107255413297,18000
"b_mes.est[5]",-0.439963384622085,0.255185300587099,-0.941757099319729,-0.611367626957902,-0.438293715151859,-0.266937088449101,0.0573498321655456,1.00098981343083,90000
"b_mes.est[6]",-0.383693578512777,0.283288558630312,-0.936216660456143,-0.575853679448294,-0.384260674467724,-0.192941487017168,0.172636234189751,1.00098856593046,90000
"b_num_t",0.336562930866913,0.176740789499139,-0.00564575941398231,0.217010007402535,0.335384164362511,0.454291288435884,0.688590401565626,1.00124159452008,5900
"b_num_v",-3.01380572806661,0.228054500298155,-3.47059478277356,-3.16469430060694,-3.00970296730854,-2.85844703393509,-2.57904678244107,1.00103088643393,35000
"b_suel",-0.416560405625382,0.167981562773865,-0.747480866840936,-0.529341928555985,-0.415045076265876,-0.30261630379476,-0.0898382870844655,1.00112641745204,11000
"b_suel_ant",0.101849009736639,0.112074291742869,-0.117629472576343,0.0264149410982754,0.101778713044016,0.176999703570941,0.3233406185841,1.00120468848927,6900
"deviance",587.058354292663,6.85872626087372,575.76726470856,582.190533343324,586.391446699438,591.191822637582,602.077898284298,1.00103397285393,32000
