key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antiguedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,rotacion,dependientes,incremento
16297,27-Jul-15,1,27,MONTERREY SAN PEDRO,1,5,5695.338,4,1,2,3,2,364.79999,70,1,2,14.61222
16242,27-Jul-15,1,27,MONTERREY FUNDIDORA,1,3,293.8158,8,2,2,3,2,11916.8,65,1,3,-0.9753444
16281,27-Jul-15,1,24,ILIADA METRO NORTE,2,10,21284.454,7,1,2,1,2,33470.398,121,1,2,-0.3640812
16290,27-Jul-15,1,28,PUERTO,2,4,661.71069,8,2,2,2,1,3769.6001,72,1,2,-0.8244613
16233,27-Jul-15,1,24,TIJUANA INSURGENTES,1,4,3021.9268,5,1,2,3,2,9302.4004,78,1,3,-0.6751455
16257,27-Jul-15,2,27,GUADALAJARA MINERVA,1,4,1953.5625,6,1,1,3,1,4164.7998,35,1,1,-0.5309348
16225,27-Jul-15,1,23,CD. JUAREZ BARRANCAS,1,1,590.7573,4,1,2,3,1,29396.801,45,1,3,-0.9799041
16266,27-Jul-15,1,38,SAN JERONIMO,2,6,6795.2718,17,5,1,2,1,212.8,93,1,1,30.93267
16228,27-Jul-15,1,33,PACHUCA,2,3,2391.1605,11,2,1,1,1,7843.2002,24,1,1,-0.6951295
16227,27-Jul-15,1,24,MEXICALI IMPERIAL,1,3,840.8133,3,1,2,2,2,2340.8,49,1,2,-0.6408009
16248,27-Jul-15,2,24,JUAREZ CHAMIZAL,1,9,5746.912,6,1,2,3,1,516.79999,59,1,3,10.12019
16252,27-Jul-15,1,30,INTERLOMAS,2,10,8207.7756,7,2,1,2,2,3374.3999,74,1,1,1.432366
16244,27-Jul-15,2,35,PACHUCA,2,5,3489.8441,10,2,1,1,2,2553.6001,46,1,2,0.3666369
16232,27-Jul-15,2,40,TOLUCA METEPEC,2,19,10276.739,26,5,1,2,1,6171.2002,462,0,1,0.665274
16292,27-Jul-15,2,37,OLIMPO,2,4,2365.2172,16,3,1,2,1,1216,31,1,1,0.9450799
16239,27-Jul-15,2,27,CONDESA,2,17,15132.264,4,1,2,1,2,5046.3999,543,0,2,1.998626
16254,27-Jul-15,2,44,MOLIERE,2,1,268.18506,28,4,2,2,1,2097.6001,28,1,2,-0.8721467
16272,27-Jul-15,2,36,VALLARTA,1,24,16118.297,10,1,1,3,2,4377.6001,422,0,1,2.681994
16247,27-Jul-15,2,26,TIJUANA RIO,1,1,670.46265,10,2,2,2,2,760,24,1,3,-0.1178123
16273,27-Jul-15,1,34,SOTELO,2,27,14952.724,10,2,1,2,2,6931.2002,633,0,2,1.157307
16256,27-Jul-15,1,31,REYNOSA FRONTERA,1,3,1273.7227,12,3,1,3,1,9272,42,1,2,-0.862627
16243,27-Jul-15,1,26,CD. JUAREZ ATLANTIS,1,3,2211.1202,6,1,1,3,1,2644.8,63,1,2,-0.1639745
16286,27-Jul-15,1,44,NAUCALPAN,2,4,2256.7554,25,7,1,2,2,3891.2,114,1,1,-0.4200361
16276,27-Jul-15,1,60,MONTERREY MITRAS,1,5,9366.1601,27,5,1,3,2,2280,42,1,1,3.107965
16223,27-Jul-15,1,27,MERIDA,2,2,795.49065,8,1,1,3,1,2644.8,63,1,1,-0.6992247
16293,27-Jul-15,1,25,CD. JUAREZ ATLANTIS,1,5,1186.8283,4,1,2,3,1,2371.2,80,1,1,-0.499482
16307,03-Aug-15,2,31,TIJUANA INSURGENTES,1,16,12610.949,18,1,1,3,1,10488,269,0,1,0.202417
16306,03-Aug-15,2,31,TIJUANA INSURGENTES,1,16,12610.949,18,5,1,3,1,3435.2,269,0,1,2.671096
16337,03-Aug-15,1,59,CUAUTITLAN,2,8,6576.2853,40,14,1,2,2,2401.6001,119,1,1,1.738293
16319,03-Aug-15,2,30,SAN MARCOS,1,4,958.02705,12,2,2,3,1,9211.2002,57,1,3,-0.8959932
16355,03-Aug-15,1,33,SAN MARCOS,1,3,900.82674,18,4,1,3,1,4712,49,1,2,-0.8088229
16341,03-Aug-15,2,26,COLIMA,1,18,5755.3514,2,1,2,3,2,547.20001,242,0,2,9.51782
16305,03-Aug-15,1,59,TIJUANA RIO,1,5,1219.6481,44,9,1,3,1,20580.801,116,1,1,-0.9407386
16312,03-Aug-15,1,50,MONTERREY LAS TORRES,1,18,20592.112,30,5,1,3,2,3952,218,0,1,4.210555
16329,03-Aug-15,2,30,SLP TANGAMANGA,1,2,168.7878,10,4,2,3,2,243.2,88,1,2,-0.3059712
16322,03-Aug-15,1,28,GUADALAJARA PATRIA,1,3,591.06987,10,2,1,3,1,5563.2002,63,1,1,-0.8937536
16349,03-Aug-15,1,29,FRAY SERVANDO,2,3,1874.4823,12,4,1,2,1,6779.2002,65,1,1,-0.7234951
16317,03-Aug-15,1,30,MOLIERE,2,2,3329.4956,9,2,1,2,1,6049.6001,127,1,1,-0.4496338
