"ï..key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antiguedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","mes"
17294,"30-Nov-15",0,22,"TIJUANA RIO",1,1,45.760248,3,1,2,2,1,9150.4004,84,1,3,0.0050009,11
17295,"30-Nov-15",1,27,"TIJUANA PLAYAS",1,1,670.15008,11,4,2,2,1,8785.5996,56,1,3,0.0762782,11
17296,"30-Nov-15",1,29,"CHIHUAHUA PARRAL",1,18,4000.896,7,2,2,2,1,4894.3999,452,0,1,0.8174436,11
17297,"30-Nov-15",1,31,"TAMPICO ALTAMIRA",1,1,62.514,11,2,1,1,1,17784,53,1,1,0.0035152,11
17298,"30-Nov-15",0,27,"JUAREZ CHAMIZAL",1,7,6191.7616,10,2,2,1,2,3648,135,1,1,1.697303,11
17299,"30-Nov-15",1,26,"MERIDA",2,1,625.14,5,1,2,2,2,212.8,42,1,3,2.937688,11
17301,"30-Nov-15",1,27,"NOGALES",1,16,3514.8601,4,1,2,2,2,12160,301,0,3,0.289051,11
17302,"30-Nov-15",0,30,"MONCLOVA",1,18,8431.6383,9,1,1,2,1,18240,507,0,1,0.4622609,11
17303,"30-Nov-15",1,26,"COATZACOALCOS",2,3,367.58232,6,1,2,2,2,5228.7998,65,1,3,0.0702996,11
17304,"30-Nov-15",1,27,"TAMPICO ALTAMIRA",1,1,2076.7151,2,0,1,1,2,6992,56,1,1,0.297013,11
17305,"30-Nov-15",1,41,"PUERTO",2,2,688.90428,24,4,1,1,2,1732.8,46,1,1,0.3975671,11
17306,"30-Nov-15",0,25,"CHIHUAHUA VILLA",1,19,9599.2748,8,4,1,2,1,9758.4004,212,0,1,0.9836935,11
17307,"30-Nov-15",1,42,"LINDAVISTA",2,20,5704.1524,24,5,1,1,2,2553.6001,374,0,2,2.233769,11
17308,"30-Nov-15",0,40,"MERIDA MONTEJO",2,15,8198.336,25,6,1,2,1,4955.2002,245,0,1,1.654491,11
17309,"30-Nov-15",0,22,"NOGALES",1,16,2535.4428,6,2,1,1,1,21097.6,232,0,1,0.1201768,11
17311,"30-Nov-15",1,24,"MATAMOROS",1,3,972.71784,7,1,1,2,2,12524.8,81,1,1,0.0776633,11
17312,"30-Nov-15",1,43,"CULIACAN",1,5,3583.5525,27,8,1,2,2,7417.6001,95,1,1,0.4831148,11
17313,"30-Nov-15",1,36,"MONCLOVA",1,9,5506.6082,17,4,1,2,2,12980.8,179,1,1,0.4242118,11
