"","key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antigüedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","antiguedad","grupo_edad","grupo_sueldo"
"36",13997,"05-Jan-15",0,29,"SAN LUIS POTOSI",1,19,10212.912,8,2,NA,NA,NA,5076.7998,134,0,NA,2.011683,8,2,3
"37",13998,"05-Jan-15",1,27,"MONTERREY VALLE ALTO",1,3,2292.18,NA,NA,NA,NA,NA,NA,53,0,NA,NA,NA,1,2
"38",13999,"05-Jan-15",1,29,"MAZARIK",2,14,23967.451,12,7,NA,NA,NA,10305.6,203,1,NA,2.325673,12,2,3
"39",14000,"05-Jan-15",1,31,"CHIHUAHUA",1,28,14043.848,16,4,NA,NA,NA,5228.7998,227,1,NA,2.685865,16,2,3
"40",14001,"05-Jan-15",1,48,"SAN LUIS POTOSI",1,36,22061.503,30,7,NA,NA,NA,5806.3999,168,0,NA,3.799515,30,3,3
"41",14003,"05-Jan-15",1,27,"BARRANCA",2,9,7615.9243,7,1,NA,NA,NA,7812.7998,49,0,NA,0.9748009,7,1,2
"42",14004,"05-Jan-15",1,27,"BARRANCA",2,9,7615.9243,7,3,NA,NA,NA,6414.3999,49,0,NA,1.187317,7,1,2
"43",14005,"05-Jan-15",1,38,"MONTERREY MITRAS",1,1,312.57,21,5,NA,NA,NA,3283.2,39,0,NA,0.0952029,21,2,1
"44",14006,"05-Jan-15",1,27,"MONTERREY SANTA LUCIA",1,10,5732.7943,NA,NA,NA,NA,NA,NA,65,0,NA,NA,NA,1,2
"45",14007,"05-Jan-15",0,30,"BARRANCA",2,5,2688.102,9,3,NA,NA,NA,29244.801,24,0,NA,0.0919173,9,2,2
"46",14008,"12-Jan-15",0,27,"TIJUANA CACHANILLA",1,11,7878.2487,10,2,NA,NA,NA,1246.4,164,0,NA,6.320803,10,1,2
"47",14009,"12-Jan-15",0,29,"ROMA",2,6,3129.3727,10,2,NA,NA,NA,1611.2,49,0,NA,1.942262,10,2,2
"48",14010,"12-Jan-15",1,29,"PRAGA",2,8,3002.1723,6,1,NA,NA,NA,3040,70,0,NA,0.9875567,6,2,2
"49",14011,"12-Jan-15",0,26,"MERIDA MONTEJO",2,10,4977.9898,5,1,NA,NA,NA,4712,84,0,NA,1.056449,5,1,2
"50",14012,"12-Jan-15",1,28,"VIVEROS",2,10,5681.4547,10,5,NA,NA,NA,1337.6,74,0,NA,4.247499,10,2,2
"51",14013,"12-Jan-15",0,39,"CORREGIDORA",1,20,15336.091,21,5,NA,NA,NA,8755.2002,829,1,NA,1.751655,21,2,3
"52",14014,"12-Jan-15",0,36,"QUERETARO",1,7,2715.7123,16,4,NA,NA,NA,2827.2,121,0,NA,0.960566,16,2,2
"53",14015,"12-Jan-15",1,28,"QUERETARO ACUEDUCTO",1,19,11416.307,NA,NA,NA,NA,NA,NA,72,0,NA,NA,NA,2,3
"54",14016,"12-Jan-15",0,51,"MERIDA",2,30,18514.771,30,8,NA,NA,NA,8329.5996,829,1,NA,2.222769,30,3,3
"55",14017,"12-Jan-15",1,49,"MONTERREY MITRAS",1,6,6101.3143,30,6,NA,NA,NA,2553.6001,112,0,NA,2.389299,30,3,2
"56",14018,"12-Jan-15",1,33,"LAS AGUILAS",2,9,4640.6226,14,5,NA,NA,NA,8299.2002,53,0,NA,0.5591651,14,2,2
"57",14019,"12-Jan-15",0,28,"BARRANCA",2,2,1476.8933,8,2,NA,NA,NA,1428.8,50,0,NA,1.03366,8,2,1
"58",14020,"12-Jan-15",1,25,"MONTERREY SANTA LUCIA",1,10,4649.8434,NA,NA,NA,NA,NA,NA,59,0,NA,NA,NA,1,2
"59",14021,"12-Jan-15",1,32,"TIJUANA INSURGENTES",1,3,1250.28,14,4,NA,NA,NA,3313.6001,43,0,NA,0.3773177,14,2,1
"60",14022,"12-Jan-15",0,33,"POLANCO",2,19,26147.627,17,4,NA,NA,NA,12008,276,1,NA,2.177517,17,2,3
"61",14023,"12-Jan-15",0,30,"SATELITE",2,16,9373.9743,10,4,NA,NA,NA,1884.8,244,1,NA,4.973458,10,2,2
"62",14024,"12-Jan-15",1,27,"VALLE DORADO",2,17,6927.5931,9,3,NA,NA,NA,1641.6,197,1,NA,4.220025,9,1,2
"63",14025,"12-Jan-15",1,27,"SEVILLA",2,18,16499.69,4,1,NA,NA,NA,668.79999,150,0,NA,24.67059,4,1,3
