key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14146,26-Jan-15,1,27,JUAREZ PASO DEL NORTE,1,16,18956.563,10,3.0885451,NA,NA,NA,376,338,1
14147,26-Jan-15,0,33,TIJUANA PLAYAS,1,4,836.35397,17,2.8552327,NA,NA,NA,272,45,0
14148,26-Jan-15,0,29,PATRIOTISMO,2,1,755.3775,7,1.3823394,NA,NA,NA,229,30,0
14149,26-Jan-15,1,28,REYNOSA FRONTERA,1,29,9920.1904,11,1.8132168,NA,NA,NA,148,486,1
14150,26-Jan-15,1,26,JUAREZ PASO DEL NORTE,1,1,76.142052,8,3.3341421,NA,NA,NA,117,51,0
14151,26-Jan-15,0,27,ALTAVISTA,2,1,1250.28,,,NA,NA,NA,,23,0
14152,26-Jan-15,1,25,FRAY SERVANDO,2,21,11329.933,8,1.3096932,NA,NA,NA,391,436,1
14153,26-Jan-15,0,33,SOTELO,2,1,600.52511,14,5.232916,NA,NA,NA,100,24,0
14154,26-Jan-15,0,34,ENSENADA,1,23,9413.3581,17,3.1335797,NA,NA,NA,723,151,0
14155,26-Jan-15,1,26,SALTILLO MONTERREAL,1,5,2564.194,6,1.3402008,NA,NA,NA,289,77,0
14156,26-Jan-15,0,29,TOREO,2,6,3164.2763,13,2.4574615,NA,NA,NA,89,63,0
14157,26-Jan-15,1,43,GUADALAJARA TLAQUEPAQUE,1,3,1447.3033,12,2.413192,NA,NA,NA,99,74,0
14158,26-Jan-15,0,40,TIJUANA CACHANILLA,1,6,899.80568,17,2.9763819,NA,NA,NA,66,51,0
14159,26-Jan-15,0,34,TAMPICO,1,19,10602.531,14,3.0060332,NA,NA,NA,290,353,1
14160,26-Jan-15,0,24,TIJUANA PLAYAS,1,2,672.28598,4,1.2608099,NA,NA,NA,303,45,0
14161,26-Jan-15,0,24,TIJUANA PLAYAS,1,2,672.28598,4,0.73201305,NA,NA,NA,261,45,0
14162,26-Jan-15,1,26,INTERLOMAS,2,5,5164.4691,8,2.707669,NA,NA,NA,100,65,0
14163,26-Jan-15,0,28,REYNOSA FRONTERA,1,44,13846.361,10,2.7995926,NA,NA,NA,222,815,1
